number,text
footnote 400,"Zoſimus, the enemy of Conſtantine, allows (l. ii. p. 88.), that only a few of the friends of Maxentius were put to death; but we may remark the expreſſive paſſage of Nazarius (Panegyr. Vet. x. 6.), Omnibus qui labefactari ſtatum ejus poterant cum ſtirpe deletis. The other orator (Panegyr. Vet. ix. 20, 21.) contents himſelf with obſerving, that Conſtantine, when he entered Rome, did not imitate the cruel maſſacres of Cinna, of Marius, or of Sylla."
footnote 401,"See the two Panegyrics, and the laws of this and the enſuing year, in the Theodoſian Code."
footnote 402,"Panegyr. Vet. ix. 20. Lactantius de M. P. c. 44. Maximin, who was confeſſedly the eldeſt Caeſar, claimed, with ſome ſhew of reaſon, the firſt rank among the Auguſti."
footnote 403,"Adhuc cuncta opera quae magnifice conſtruxerat, urbis fanum, atque baſilicam, Flavii meritis patres ſacravere. Aurelius Victor. With regard to the theft of Trajan's trophies, conſult Flaminius Vacca, apud Montfaucon, Diarium Italicum, p. 250, and l'Antiquité Expliquée of the latter, tom. iv. p. 171."
footnote 404,"Praetoriae legiones ac ſubſidia factionibus aptiora quam urbi Romae, ſublata penitus; ſimul arma atque uſus indumenti militaris. Aurelius Victor. Zoſimus (l. ii. p. 89.) mentions this fact as an hiſtorian; and it is very pompouſly celebrated in the ninth Panegyric."
footnote 405,"Ex omnibus provinciis optimates viros Curiae tuae pigneraveris; ut Senatûs dignitas . . . . ex totius Orbis flore conſiſteret. Nazarius in Panegyr. Vet. x. 35. The wordpigneraverismight almoſt ſeem maliciouſly choſen. Concerning the ſenatorial tax, ſee Zoſimus, l. ii. p. 115. the ſecond title of the ſixth book of the Theodoſian code, with Godefroy's Commentary, and Memoires de l'Academie des Inſcriptions, tom. xxviii. p. 726."
footnote 406,"From the Theodoſian Code, we may now begin to trace the motions of the emperors; but the dates both of time and place have frequently been altered by the careleſſneſs of tranſcribers."
footnote 407,"Zoſimus (l. ii. p. 89.) obſerves, that before the war, the ſiſter of Conſtantine had been betrothed to Licinius. According to the younger Victor, Diocletian was invited to the nuptials; but having ventured to plead his age and infirmities, he received a ſecond letter filled with reproaches for his ſuppoſed partiality to the cauſe of Maxentius and Maximin."
footnote 408,"Zoſimus mentions the defeat and death of Maximin as ordinary events: but Lactantius expatiates on them (de M. P. c. 45—50.), aſcribing them to the miraculous interpoſition of Heaven. Licinius at that time was one of the protectors of the church."
footnote 409,"Lactantius de M. P. c. 50. Aurelius Victor touches on the different conduct of Licinius, and of Conſtantine, in the uſe of victory."
footnote 410,"The ſenſual appetites of Maximin were gratified at the expence of his ſubjects. His eunuchs, who forced away wives and virgins, examined their naked charms with anxious curioſity, leſt any part of their body ſhould be found unworthy of the royal embraces. Coyneſs and diſdain were conſidered as treaſon, and the obſtinate fair one was condemned to be drowned. A cuſtom was gradually introduced, that no perſon ſhould marry a wife without the permiſſion of the emperor, ""ut ipſe in omnibus nuptiis praeguſtator eſſet."" Lactantius de M. P. c. 38."
footnote 411,Lactantius de M. P. c. 39.
footnote 412,"Diocletian at laſt ſent cognatum ſuum, quendam militarem ac potentem virum, to intercede in favour of his daughter (Lactantius de M. P. c, 41.). We are not ſufficiently acquainted with the hiſtory of theſe times, to point out the perſon who was employed."
footnote 413,"Valeria quoque per varias provincias quindecim menſibus plebeio cultû pervagata. Lactantius de M. P. c. 51. There is ſome doubt whether we ſhould compute the fifteen months from the moment of her exile, or from that of her eſcape. The expreſſion ofpervagataſeems to denote the latter; but in that caſe we muſt ſuppoſe, that the treatiſe of Lactantius was written after the firſt civil war between Licinius and Conſtantine. See Cuper, p. 254."
footnote 414,Ita illis pudicitia et conditio exitio fuit. Lactantius de M. P. e. 51. He relates the misfortunes of the innocent wife and daughter of Diocletian with a very natural mixture of pity and exultation.
footnote 415,"The curious reader, who conſults the Valeſian Fragment, p. 713, will perhaps accuſe me of giving a bold and licentious paraphraſe; but if he conſiders it with attention, he will acknowledge that my interpretation is probable and conſiſtent."
footnote 416,"The ſituation of Aemona, or, as it is now called, Laybach, in Carniola (d'Anville Geographie Ancienne, tom. i. p. 187.), may ſuggeſt a conjecture. As it lay to the north-eaſt of the Julian Alps, that important territory became a natural object of diſpute between the ſovereigns of Italy and of Illyricum."
footnote 417,"Cibalis or Cibalae (whoſe name is ſtill preſerved in the obſcure ruins of Swilei) was ſituated about fifty miles from Sirmium, the capital of Illyricum, and about one hundred from Taurunum, or Belgrade, and the conflux of the Danube and the Save. The Roman garriſons and cities on thoſe rivers are finely illuſtrated by M. d'Anville, in a memoir inſerted in l'Academie des Inſcriptions, tom. xxviii."
footnote 418,"Zoſimus (l. ii. p. 90, 91.) gives a very particular account of this battle; but the deſcriptions of Zoſimus are rhetorical rather than military."
footnote 419,"Zoſimus, l. ii. p. 92, 93. Anonym. Valeſian. p. 713. The Epitomes furniſh ſome circumſtances; but they frequently confound the two wars between Licinius and Conſtantine."
footnote 420,"Petrus Patricius in Excerpt. Legat. p. 27. If it ſhould be thought that〈 in non-Latin alphabet 〉ſignifies more properly a ſon-in-law, we might conjecture, that Conſtantine, aſſuming the name as well as the duties of a father, had adopted his younger brothers and ſiſters, the children of Theodora. But in the beſt authors〈 in non-Latin alphabet 〉ſometimes ſignifies a huſband, ſometimes a father-in-law, and ſometimes a kinſman in general. See Spanheim Obſervat. ad Julian. Orat. i. p. 72."
footnote 421,"Zoſimus, l. ii. p. 93. Anonym. Valeſian. p. 713. Eutropius, x. 5. Aurelius Victor, Euſeb. in Chron. Sozomen, l. i. c. 2. Four of theſe writers affirm that the promotion of the Caeſars was an article of the treaty. It is however certain, that the younger Conſtantine and Licinius were not yet born; and it is highly probable that the promotion was made the 1ſt of March, A. D. 317. The treaty had probably ſtipulated that two Caeſars might be created by the weſtern, and one only by the eaſtern emperor; but each of them reſerved to himſelf the choice of the perſons."
footnote 422,"Codex Theodoſian. l. xi. tit. 27. tom. iv. p. 188. with Godefry's obſervations. See likewiſe, l. v. tit. 7—8."
footnote 423,"Omnia foris placita, domi proſpera, annonae ubertate, fructuum copiâ, &c. Panegyr. Vet. x. 38. This oration of Nazarius was pronounced on the day of the Quinquennalia of the Caeſars, the 1ſt of March, A. D. 321."
footnote 424,"See the edict of Conſtantine, addreſſed to the Roman people, in the Theodoſian Code, l. ix. tit. 24. tom. iii. p. 189."
footnote 425,"His ſon very fairly aſſigns the true reaſon of the repeal,Ne ſub ſpecie atrocioris judicii aliqua in ulciſcendo crimine dilatio naſceretur.Cod. Theod. tom. iii. p. 193."
footnote 426,"Euſebius (in Vitâ Conſtant. l. iii. c. 1.) chooſes to affirm, that in the reign of his hero, the ſword of juſtice hung idle in the hands of the magiſtrates. Euſebius himſelf (l. iv. c. 29. 54.) and the Theodoſian Code will inform us, that this exceſſive lenity was not owing to the want either of atrocious criminals or of penal laws."
footnote 427,"Nazarius in Panegyr. Vet. x. The victory of Criſpus over the Alemanni, is expreſſed on ſome medals."
footnote 428,"See Zoſimus, l. ii. p. 93, 94; though the narrative of that hiſtorian is neither clear nor conſiſtent. The Panegyric of Optatianus (c. 23.) mentions the alliance of the Sarmatians with the Carpi and Getae, and points out the ſeveral fields of battle. It is ſuppoſed, that the Sarmatian games, celebrated in the month of November, derived their origin from the ſucceſs of this war."
footnote 429,"In the Caeſars of Julian (p. 329. Commentaire de Spanheim, p. 252.) Conſtantine boaſts, that he had recovered the province (Dacia) which Trajan had ſubdued. But it is inſinuated by Silenus, that the conqueſts of Conſtantine were like the gardens of Adonis, which fade and wither almoſt the moment they appear."
footnote 430,"Jornandes de Rebus Geticis, c. 21. I know not whether we may entirely depend on his authority. Such an alliance has a very recent air, and ſcarcely is ſuited to the maxims of the beginning of the fourth century."
footnote 431,"Euſebius in Vit. Conſtantin. l. i. c. 8. This paſſage, however, is taken from a general declamation on the greatneſs of Conſtantine, and not from any particular account of the Gothic war."
footnote 432,"Conſtantinus tamen, vir ingens, et omnia efficere nitens quae animo praeparaſſet, ſimul principatum totius orbis affectans, Licinio bellum intulit. Eutropius, x. 5. Zoſimus, l. ii. p. 89. The reaſons which they have aſſigned for the firſt civil war may, with more propriety, be applied to the ſecond."
footnote 433,"Zoſimus, l. ii. p. 94, 95."
footnote 434,"Conſtantine was very attentive to the privileges and comforts of his fellow-veterans (Conveterani), as he now began to ſtyle them. See the Theodoſian Code, l. vii. tit. 20. tom. ii. p. 419. 429."
footnote 435,"Whilſt the Athenians maintained the empire of the ſea, their fleet conſiſted of three, and afterwards of four, hundred gallies of three ranks of oars, all completely equipped and ready for immediate ſervice. The arſenal in the port of Piraeus had coſt the republic a thouſand talents, about two hundred and ſixteen thouſand pounds. See Thucydides de Bel. Peloponn. l. ii. c. 13. and Meurſius de Fortuna Attica, c. 19."
footnote 436,"Zoſimus, l. ii. p. 95, 96. This great battle is deſcribed in the Valeſian fragment (p. 714.) in a clear though conciſe manner.""Licinius vero circum Hadrianopolin maximo exercitu latera ardui montis impleverat; illuc toto agmine Conſtantinus inflexit. Cum bellum terrâ marique traheretur, quamvis per arduum ſuis nitentibus, attamen diſciplinâ militari et felicitate, Conſtantinus Licinii confuſum et ſine ordine agentem vicit exercitum; leviter femore ſauciatus."""
footnote 437,"Zoſimus, l. ii. p. 97, 98. The current always ſets out of the Helleſpont; and when it is aſſiſted by a north wind, no veſſel can attempt the paſſage. A ſouth wind renders the force of the current almoſt imperceptible. See Tournefort's Voyage au Levant, Let. xi."
footnote 438,"Aurelius Victor. Zoſimus, l. ii. p. 98. According to the latter, Martinianus was Magiſter Officiorum (he uſes the Latin appellation in Greek). Some medals ſeem to intimate, that during his ſhort reign he received the title of Auguſtus."
footnote 439,"Euſebius (in Vitâ Conſtantin. l. ii. c. 16, 17.) aſcribes this deciſive victory to the pious prayers of the emperor. The Valeſian fragment (p. 714.) mentions a body of Gothic auxiliaries, under their chief Aliquaca, who adhered to the party of Licinius."
footnote 440,"Zoſimus, l. ii. p. 102. Victor Junior in Epitome. Anonym. Valeſian. p. 714."
footnote 441,"Contra religionem ſacramenti Theſſalonicae privatus occiſus eſt. Eutropius, x. 6. and his evidence is confirmed by Jerome (in Chronic.) as well as by Zoſimus, l. ii. p. 102. The Valeſian writer is the only one who mentions the ſoldiers, and it is Zonaras alone who calls in the aſſiſtance of the ſenate. Euſebius prudently ſlides over this delicate tranſaction. But Sozomen, a century afterwards, ventures to aſſert the treaſonable practices of Licinius."
footnote 442,"See the Theodoſian Code, l. 15. tit. 15. tom. v. p. 404, 405. Theſe edicts of Conſtantine betray a degree of paſſion and precipitancy very unbecoming of the character of a lawgiver."
footnote 443,"Dum Aſſyrios penes, Medoſque, et Perſas Oriens fuit, deſpectiſſima pars ſervientium. Tacit. Hiſt. v. 8. Herodotus, who viſited Aſia whilſt it obeyed the laſt of thoſe empires, ſlightly mentions the Syrians of Paleſtine, who, according to their own confeſſion, had received from Egypt the rite of circumciſion. See l. ii. c. 104."
